iter	Passed	Remaining
0	5	4562
1	7	3065
2	10	2777
3	11	2424
4	13	2255
5	15	2134
6	19	2286
7	21	2202
8	23	2110
9	26	2118
10	27	2036
11	29	1971
12	30	1915
13	35	2020
14	39	2090
15	41	2102
16	45	2141
17	51	2302
18	57	2424
19	62	2474
20	69	2630
21	74	2692
22	76	2631
23	84	2784
24	90	2858
25	93	2851
26	104	3063
27	118	3348
28	126	3429
29	136	3592
30	138	3517
31	143	3530
32	150	3570
33	153	3537
34	155	3466
35	158	3429
36	159	3369
37	165	3384
38	171	3428
39	179	3482
40	185	3505
41	188	3486
42	190	3431
43	200	3513
44	201	3464
45	205	3444
46	212	3482
47	216	3466
48	217	3415
49	219	3363
50	220	3316
51	227	3340
52	228	3299
53	231	3274
54	236	3271
55	238	3234
56	239	3192
57	245	3213
58	249	3208
59	251	3173
60	254	3159
61	261	3186
62	266	3190
63	268	3155
64	269	3119
65	274	3124
66	277	3104
67	280	3093
68	282	3058
69	284	3033
70	285	3000
71	289	2993
72	294	3004
73	297	2987
74	299	2961
75	300	2934
76	304	2922
77	310	2940
78	311	2913
79	313	2886
80	318	2894
81	325	2913
82	326	2888
83	328	2864
84	330	2844
85	333	2836
86	339	2847
87	342	2839
88	344	2817
89	345	2794
90	349	2790
91	356	2805
92	357	2781
93	358	2759
94	360	2739
95	364	2733
96	365	2712
97	371	2722
98	376	2728
99	385	2764
100	388	2751
101	389	2732
102	394	2734
103	395	2713
104	397	2694
105	404	2715
106	409	2720
107	411	2701
108	414	2695
109	420	2703
110	422	2688
111	424	2673
112	426	2657
113	428	2641
114	432	2639
115	437	2641
116	439	2631
117	441	2613
118	442	2595
119	448	2605
120	453	2608
121	454	2591
122	456	2574
123	459	2568
124	460	2551
125	463	2539
126	464	2522
127	465	2507
128	467	2494
129	469	2479
130	471	2467
131	472	2453
132	474	2439
133	478	2437
134	480	2426
135	481	2411
136	482	2397
137	485	2387
138	486	2373
139	487	2359
140	489	2344
141	490	2333
142	493	2325
143	496	2322
144	499	2315
145	500	2302
146	502	2289
147	503	2275
148	504	2262
149	507	2256
150	512	2261
151	515	2254
152	516	2242
153	517	2229
154	519	2217
155	520	2205
156	522	2197
157	526	2194
158	530	2195
159	531	2184
160	533	2172
161	534	2159
162	535	2148
163	537	2141
164	539	2130
165	544	2135
166	545	2124
167	547	2113
168	548	2102
169	549	2091
170	550	2081
171	552	2073
172	554	2062
173	557	2061
174	561	2061
175	563	2051
176	564	2041
177	565	2030
178	567	2022
179	568	2012
180	569	2002
181	575	2006
182	576	1997
183	577	1987
184	579	1978
185	580	1968
186	581	1959
187	582	1950
188	584	1940
189	585	1931
190	588	1927
191	589	1919
192	590	1910
193	592	1901
194	593	1892
195	594	1884
196	595	1875
197	597	1867
198	598	1859
199	599	1850
200	601	1842
201	604	1840
202	605	1832
203	606	1823
204	608	1816
205	609	1807
206	610	1799
207	613	1797
208	615	1789
209	616	1782
210	619	1777
211	623	1779
212	624	1771
213	626	1764
214	627	1756
215	628	1748
216	629	1741
217	631	1733
218	632	1726
219	636	1726
220	638	1721
221	639	1713
222	640	1706
223	642	1701
224	643	1694
225	645	1687
226	646	1680
227	647	1673
228	651	1671
229	652	1665
230	653	1658
231	654	1651
232	656	1644
233	657	1638
234	659	1632
235	660	1625
236	661	1618
237	662	1612
238	666	1611
239	669	1609
240	670	1602
241	672	1597
242	673	1591
243	675	1585
244	676	1578
245	677	1572
246	678	1566
247	684	1569
248	685	1563
249	686	1557
250	688	1551
251	689	1545
252	690	1539
253	691	1533
254	692	1527
255	694	1521
256	695	1515
257	697	1511
258	699	1507
259	700	1501
260	701	1495
261	703	1489
262	704	1483
263	705	1478
264	706	1472
265	708	1466
266	709	1461
267	710	1455
268	715	1458
269	717	1453
270	718	1447
271	719	1442
272	720	1436
273	722	1431
274	723	1425
275	725	1421
276	726	1415
277	728	1411
278	729	1406
279	730	1401
280	732	1396
281	733	1391
282	734	1386
283	735	1381
284	737	1375
285	738	1370
286	739	1365
287	740	1360
288	743	1357
289	744	1352
290	745	1347
291	746	1342
292	748	1338
293	749	1333
294	750	1328
295	751	1323
296	753	1318
297	754	1314
298	755	1309
299	757	1304
300	759	1301
301	760	1297
302	761	1292
303	763	1287
304	764	1282
305	765	1278
306	766	1273
307	767	1268
