iter	NDCG:type=Base_SumError	NDCG:type=Base_SumWeight
0	2775.731113	2963
1	2775.731113	2963
2	2775.82388	2963
3	2775.82388	2963
4	2775.82388	2963
5	2775.82388	2963
6	2775.977468	2963
7	2775.731113	2963
8	2775.731113	2963
9	2775.731113	2963
10	2775.731113	2963
11	2775.731113	2963
12	2775.731113	2963
13	2775.731113	2963
14	2775.731113	2963
15	2775.731113	2963
16	2775.665749	2963
17	2775.665749	2963
18	2775.665749	2963
19	2775.665749	2963
20	2775.731113	2963
21	2775.731113	2963
22	2775.731113	2963
23	2775.731113	2963
24	2775.731113	2963
25	2775.731113	2963
26	2775.731113	2963
27	2775.731113	2963
28	2775.731113	2963
29	2775.731113	2963
30	2775.731113	2963
31	2775.731113	2963
32	2775.731113	2963
33	2775.731113	2963
34	2775.731113	2963
35	2775.731113	2963
36	2775.731113	2963
37	2775.731113	2963
38	2775.731113	2963
39	2775.731113	2963
40	2775.731113	2963
41	2775.731113	2963
42	2775.731113	2963
43	2775.731113	2963
44	2775.731113	2963
45	2775.731113	2963
46	2775.731113	2963
47	2775.731113	2963
48	2775.731113	2963
49	2775.731113	2963
50	2775.731113	2963
51	2775.731113	2963
52	2775.731113	2963
53	2775.731113	2963
54	2775.731113	2963
55	2775.731113	2963
56	2775.731113	2963
57	2775.731113	2963
58	2775.731113	2963
59	2775.731113	2963
60	2775.731113	2963
61	2775.731113	2963
62	2775.731113	2963
63	2775.731113	2963
64	2775.731113	2963
65	2775.731113	2963
66	2775.731113	2963
67	2775.731113	2963
68	2775.731113	2963
69	2775.731113	2963
70	2775.731113	2963
71	2775.731113	2963
72	2775.731113	2963
73	2775.731113	2963
74	2775.731113	2963
75	2775.731113	2963
76	2775.731113	2963
77	2775.731113	2963
78	2775.731113	2963
79	2775.731113	2963
80	2775.731113	2963
81	2775.731113	2963
82	2775.731113	2963
83	2775.731113	2963
84	2775.731113	2963
85	2775.731113	2963
86	2775.731113	2963
87	2775.731113	2963
88	2775.731113	2963
89	2775.731113	2963
90	2775.731113	2963
91	2775.731113	2963
92	2775.731113	2963
93	2775.731113	2963
94	2775.731113	2963
95	2775.731113	2963
96	2775.731113	2963
97	2775.731113	2963
98	2775.731113	2963
99	2775.731113	2963
100	2775.731113	2963
101	2775.731113	2963
102	2775.731113	2963
103	2775.731113	2963
104	2775.731113	2963
105	2775.731113	2963
106	2775.731113	2963
107	2775.731113	2963
108	2775.731113	2963
