iter	Passed	Remaining
0	97	180825
1	150	139358
2	205	126540
3	252	116925
4	303	112041
5	350	107741
6	396	104589
7	443	102322
8	494	101373
9	544	100315
10	595	99639
11	642	98559
12	696	98520
13	748	98290
14	800	98050
15	855	98221
16	906	97864
17	958	97725
18	1020	98518
19	1079	98920
20	1131	98681
21	1195	99528
22	1255	99880
23	1314	100199
24	1369	100114
25	1425	100157
26	1483	100354
27	1575	102665
28	1639	103112
29	1695	103029
30	1758	103357
31	1831	104223
32	1887	104073
33	1941	103884
34	1994	103604
35	2051	103544
36	2107	103431
37	2173	103794
38	2227	103592
39	2280	103348
40	2336	103275
41	2398	103434
42	2455	103373
43	2511	103271
44	2569	103227
45	2623	103039
46	2681	103049
47	2737	102958
48	2791	102783
49	2845	102602
50	2901	102529
51	2958	102481
52	3015	102399
53	3073	102376
54	3137	102559
55	3209	102998
56	3282	103414
57	3337	103294
58	3394	103204
59	3448	103051
60	3503	102911
61	3557	102763
62	3614	102710
63	3665	102469
64	3722	102403
65	3772	102142
66	3821	101865
67	3871	101617
68	3925	101490
69	3980	101378
70	4033	101230
71	4087	101120
72	4139	100941
73	4192	100778
74	4251	100786
75	4326	101156
76	4403	101556
77	4463	101584
78	4517	101449
79	4572	101326
80	4653	101800
81	4723	102023
82	4781	101968
83	4835	101834
84	4895	101824
85	4964	102003
86	5031	102126
87	5093	102167
88	5166	102396
89	5282	103477
90	5393	104431
91	5468	104676
92	5546	104969
93	5619	105164
94	5698	105461
95	5761	105448
96	5824	105435
97	5882	105350
98	5954	105488
99	6017	105490
100	6114	106072
101	6215	106703
102	6346	107824
103	6427	108096
104	6498	108180
105	6558	108083
106	6654	108590
107	6728	108711
108	6807	108919
109	6891	109198
110	6977	109501
111	7044	109505
112	7103	109388
113	7177	109491
114	7259	109717
115	7339	109899
116	7413	110001
117	7580	111459
118	7663	111665
119	7740	111792
120	7823	111990
121	7890	111949
122	7954	111887
123	8013	111736
124	8076	111655
125	8139	111567
126	8195	111378
127	8246	111129
128	8307	111030
129	8389	111189
130	8452	111105
131	8506	110907
132	8559	110691
133	8637	110801
134	8721	110990
135	8779	110843
136	8844	110783
137	8922	110880
138	8979	110726
139	9032	110520
140	9095	110434
141	9167	110465
142	9228	110355
143	9287	110219
144	9362	110281
145	9435	110312
146	9489	110135
147	9550	110024
148	9624	110068
149	9688	109999
150	9744	109837
151	9798	109652
152	9851	109459
153	9906	109296
154	9988	109417
155	10048	109313
156	10102	109128
157	10156	108961
158	10211	108796
159	10265	108622
160	10318	108438
161	10369	108244
162	10420	108044
163	10473	107862
164	10524	107668
165	10579	107520
166	10641	107435
167	10707	107390
168	10772	107339
